valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,emotion
0.269,2020,0.487,"['Pop Smoke', 'Lil Tjay']",0.48,213333,0.602,1,5rZlwNFl01HqLWBQGryKSm,0,10,0.0848,-6.335,0,Mood Swings (feat. Lil Tjay),90,0.368,179.798,3
0.661,2020,0.0681,"['Ariana Grande', 'Doja Cat']",0.789,167990,0.742,1,5GkQIP5mWPi4KZLLXeuFTT,0,10,0.166,-5.664,0,motive (with Doja Cat),88,0.0652,116.965,1
0.774,2020,0.235,['Ashnikko'],0.834,146523,0.663,1,0AUvWawuP0ibk4SQ3sIZjk,0,8,0.372,-6.143,1,Daisy,90,0.133,121.876,1
0.462,2020,0.25,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",0.8,195429,0.658,1,7hxHWCCAIIxFLCzvDgnQHX,0,1,0.111,-6.142,0,"Lemonade (feat. Gunna, Don Toliver & NAV)",90,0.079,140.042,2
0.581,2020,0.316,"['Chris Brown', 'Young Thug']",0.755,176960,0.578,1,1IIKrJVP1C9N7iPtG6eOsK,0,0,0.25,-8.932,0,Go Crazy,89,0.145,94.148,4
0.915,2020,0.00883,"['Dua Lipa', 'DaBaby']",0.702,203064,0.825,0,463CkQjx2Zk1yXoBuierM9,0,6,0.0674,-3.787,0,Levitating (feat. DaBaby),89,0.0601,102.977,1
0.59,2020,0.428,['Morgan Wallen'],0.457,210123,0.774,0,0tbjiOUl4k492KPdWZS9sy,4.29E-05,0,0.119,-5.201,1,7 Summers,82,0.0336,203.863,1
0.259,2020,0.00115,['Miley Cyrus'],0.705,223279,0.814,0,27ycaQnQAxaPiyeg3nr2aB,0.00312,4,0.203,-5.466,0,Midnight Sky,91,0.0346,110,4
0.386,2020,0.00161,"['CORPSE', 'Savage Ga$p']",0.614,105176,0.937,1,7bCfHiRcfUjG0YVVNUL7Ve,0.00136,1,0.103,-7.443,1,E-GIRLS ARE RUINING MY LIFE!,86,0.115,84.98,2
0.348,2020,0.731,"['Powfu', 'beabadoobee']",0.726,173333,0.431,0,7eJMfftS33KTjuF7lTsMCx,0,8,0.696,-8.765,0,death bed (coffee for your head),90,0.135,144.026,4
0.609,2020,0.105,"['Maluma', 'The Weeknd']",0.766,200482,0.788,0,0GzuHFG4Ql6DoyxFRnIk3F,5.81E-06,6,0.142,-3.128,0,Hawái - Remix,90,0.312,179.984,1
0.745,2020,0.0614,"['DDG', 'Blueface']",0.928,170233,0.341,1,7o4gBbTM6UBLkOYPw9xMCz,0,11,0.162,-10.196,0,Moonwalking in Calabasas (feat. Blueface) - Remix,84,0.103,129.966,4
0.303,2020,0.232,['The Kid LAROI'],0.719,126521,0.598,0,5psEZhQu6lukjhavJo4AbC,0,9,0.115,-6.254,1,SO DONE,87,0.077,142.592,3
0.453,2020,0.00981,['Don Toliver'],0.629,167916,0.692,1,527k23H0A4Q0UJN3vGs0Da,0.331,5,0.603,-8.045,1,After Party,86,0.0376,162.948,2
0.286,2020,0.0221,"['Pop Smoke', '50 Cent', 'Roddy Ricch']",0.49,201600,0.618,1,1H7KnK26kc1YyellpbINEn,3.77E-06,1,0.259,-5.655,1,The Woo (feat. 50 Cent & Roddy Ricch),87,0.104,99.7,3
0.325,2020,0.0978,"['Big Sean', 'Post Malone']",0.724,199758,0.675,1,33gwZOGJWEZ7dRWPqPxBEZ,9.41E-06,2,0.351,-5.267,1,Wolves (feat. Post Malone),85,0.0867,160.048,2
0.522,2020,0.157,"['The Kid LAROI', 'Juice WRLD']",0.487,181688,0.74,1,2rPHUAeUPbNgTmK18FPTiZ,0,6,0.612,-4.973,1,GO (feat. Juice WRLD),83,0.0944,73.779,4
0.533,2020,0.149,['Polo G'],0.783,163798,0.479,1,3JKgcAa7r07ocVWcV8bS0H,0,7,0.101,-10.646,1,21,84,0.541,176.027,2
0.464,2020,0.08,['Ariana Grande'],0.719,149900,0.607,1,7Dx9Z6Aon1qPS2N0rHSWTe,0,8,0.125,-5.156,1,just like magic,85,0.165,128.006,4
0.905,2020,0.168,"['Joel Corry', 'MNEK']",0.734,166028,0.874,0,6cx06DFPPHchuUAcTxznu9,1.14E-05,8,0.0489,-3.158,1,Head & Heart (feat. MNEK),94,0.0662,122.953,1
0.647,2020,0.291,"['Juice WRLD', 'Marshmello', 'The Kid LAROI', 'Polo G']",0.701,160212,0.65,1,0ada5XsQGLPUVbmTCkAP49,0,6,0.112,-6.313,1,Hate The Other Side (with Marshmello & The Kid Laroi),84,0.104,90.003,1
0.225,2020,0.0417,['Juice WRLD'],0.706,242181,0.625,1,5dOxHHMOFAbG3VH23t0xNm,0,0,0.129,-7.426,1,Righteous,84,0.0314,142.948,2
0.161,2020,0.114,"['Gunna', 'Young Thug']",0.825,197760,0.458,1,3nS9a01VvXHQriLqJYwRqG,0,0,0.102,-7.47,1,DOLLAZ ON MY HEAD (feat. Young Thug),83,0.0577,145.115,2
0.574,2020,0.601,['Morgan Wallen'],0.621,216573,0.882,0,0eBXyY4SatzpE7opnzgXvz,0,6,0.132,-5.01,1,More Than My Hometown,81,0.0459,126.014,1
0.685,2020,0.125,['blackbear'],0.782,188344,0.559,1,2mt1IqcFyY1zmYZT8Q3xw9,0,6,0.385,-7.106,0,hot girl bummer,86,0.0767,129.992,4
0.761,2020,0.234,"['Jawsh 685', 'Jason Derulo']",0.767,171375,0.481,1,1xQ6trAsedVPCdbtDAmk0c,0,0,0.269,-8.52,0,Savage Love (Laxed - Siren Beat),91,0.0803,150.076,1
0.382,2020,0.519,"['Ariana Grande', 'The Weeknd']",0.411,239949,0.522,0,7E1jVNoWuemqUryI4FxsVD,0,0,0.398,-7.295,1,off the table (with The Weeknd),85,0.0981,88.332,4
0.195,2020,0.00815,['Pop Smoke'],0.688,164580,0.647,1,25zlnOAzbVoOzIeXSvQFf1,1.65E-05,2,0.095,-7.258,1,Got It On Me,85,0.19,88.834,3
0.564,2020,0.135,"['Lil Baby', '42 Dugg']",0.926,181929,0.542,1,6gxKUmycQX7uyMwJcweFjp,0,1,0.0877,-5.064,1,We Paid (feat. 42 Dugg),82,0.293,135.14,1
0.349,2020,0.207,['Lil Mosey'],0.774,162547,0.554,1,6wJYhPfqk3KGhHRG76WzOh,0,0,0.132,-7.909,1,Blueberry Faygo,84,0.0383,99.034,4
0.45,2020,0.00691,['BTS'],0.566,207481,0.716,0,249gnXrbfmV8NG6jTEMSwD,0,1,0.37,-5.733,1,Life Goes On,90,0.0424,81.068,4
0.8,2020,0.294,['Lee Brice'],0.643,188893,0.79,0,14GwnOeC9qYEKEA6uOZepa,0,4,0.107,-6.079,1,One Of Them Girls,80,0.0462,95.987,1
0.826,2020,0.017,['Jack Harlow'],0.923,139741,0.604,1,1jaTQ3nqY3oAAYyCTbIvnM,0,11,0.272,-6.671,0,WHATS POPPIN,84,0.245,145.062,1
0.459,2020,0.146,"['Money Man', 'Lil Baby']",0.868,182857,0.638,1,7v96VvFLS0wSYT8kewNLRy,0.0565,2,0.0931,-7.746,1,24 (feat. Lil Baby),82,0.0736,126.03,4
0.753,2020,0.0332,['Jason Derulo'],0.789,190306,0.711,0,59qrUpoplZxbIZxk6X0Bm3,0,2,0.0876,-4.248,1,Take You Dancing,92,0.041,112.985,1
0.0916,2020,0.0703,"['Ariana Grande', 'Ty Dolla $ign']",0.552,208457,0.599,0,14gkWVFMwdxBMyqBw1wmIg,0,1,0.0986,-5.75,0,safety net (feat. Ty Dolla $ign),84,0.0404,161.884,3
0.393,2020,0.00536,"['J Balvin', 'Tainy', 'Dua Lipa', 'Bad Bunny']",0.571,232253,0.693,0,0EhpEsp4L0oRGM0vmeaN5e,0,6,0.173,-8.234,0,UN DIA (ONE DAY) (Feat. Tainy),92,0.0545,168.169,2
0.387,2020,0.0421,"['Future', 'Lil Uzi Vert']",0.752,213520,0.658,1,0k7wmahjkn389wAZdz19Cv,0,0,0.0927,-6.297,1,Drankin N Smokin,80,0.342,151.951,2
0.57,2020,0.176,['Juice WRLD'],0.747,181661,0.622,1,4K06PO78fW4mnBVenxGNob,0,11,0.151,-5.825,1,Conversations,82,0.0838,159.93,1
0.547,2020,0.00671,"['Travis Scott', 'Young Thug', 'M.I.A.']",0.835,202795,0.699,1,4jVBIpuOiMj1crqd8LoCrJ,0,8,0.195,-5.405,0,FRANCHISE (feat. Young Thug & M.I.A.),85,0.277,154.981,1
0.298,2020,0.147,"['Rod Wave', 'Lil Baby']",0.874,235988,0.443,1,0qJeyYAgv6UpvewUxRXAhb,0,5,0.124,-9.628,0,Rags2Riches 2 (feat. Lil Baby),81,0.241,118.004,2
0.456,2020,0.0814,['Ariana Grande'],0.772,200733,0.506,1,0sci7ppTZFm4mjcH3nu8yO,1.10E-05,6,0.182,-6.558,0,nasty,83,0.139,127.894,4
0.229,2020,0.0743,"['DJ Khaled', 'Drake']",0.695,218902,0.343,1,35RJhm1pEovTBwnNR0zWad,1.04E-06,5,0.107,-10.798,1,GREECE (feat. Drake),87,0.0432,85.84,3
0.322,2020,0.868,['Noah Cyrus'],0.708,156106,0.186,0,6J2LdBN97cDWn0MLxYh9HB,0,9,0.0779,-8.953,0,July,85,0.042,72.541,3
0.4,2020,0.0149,['King Von'],0.82,196180,0.592,1,7fEoXCZTZFosUFvFQg1BmW,4.71E-06,1,0.121,-7.002,1,Took Her To The O,81,0.29,159.98,1
0.306,2020,0.224,"['Juice WRLD', 'The Weeknd']",0.694,196180,0.685,1,6wQlQrTY5mVS8EGaFZVwVF,0,6,0.124,-6.535,0,Smile (with The Weeknd),84,0.133,158.831,2
0.599,2020,0.801,['Ariana Grande'],0.499,157710,0.462,1,3ko9jEHNt4O5fjKN65ULJp,0,0,0.0946,-5.308,1,shut up,83,0.0312,127.698,4
0.698,2020,0.0183,['AJR'],0.74,170858,0.516,0,53BHUFdQphHiZUUG3nx9zn,0,1,0.0558,-6.233,0,Bang!,78,0.0507,139.918,4
0.537,2020,0.223,"['Ariana Grande', 'Justin Bieber']",0.597,228482,0.45,0,4HBZA5flZLE435QTztThqH,0,8,0.382,-6.658,1,Stuck with U (with Justin Bieber),89,0.0418,178.765,4
0.508,2020,0.0706,"['Future', 'Drake']",0.676,237735,0.609,1,5yY9lUy8nbvjM1Uyo1Uqoc,0,2,0.152,-5.831,0,Life Is Good (feat. Drake),85,0.481,142.037,1
0.35,2020,0.0538,"['Polo G', 'Juice WRLD']",0.752,163902,0.673,1,2QqJTIlGKRLJC3onkavYEz,0,10,0.133,-5.792,0,Flex (feat. Juice WRLD),81,0.153,164.009,2
0.874,2020,0.00824,['Megan Thee Stallion'],0.821,154324,0.863,1,6WbTTAGKrQtCQvmc5BuYfh,0,6,0.0377,-3.159,1,Girls in the Hood,81,0.353,180.013,1
0.773,2020,0.535,['YoungBoy Never Broke Again'],0.877,151249,0.607,1,1SF8piqsZWn86DajVKih8F,0,10,0.138,-7.818,0,Kacey Talk,80,0.15,127.055,1
0.837,2020,0.12,['Lil Nas X'],0.81,154998,0.511,1,6zFMeegAMYQo0mt8rXtrli,0,5,0.0832,-6.924,0,HOLIDAY,85,0.164,151.947,1
0.434,2020,0.67,['Ariana Grande'],0.739,183874,0.516,1,2IKJtXeR5UsaUjZB46fTOK,0,0,0.151,-7.154,1,six thirty,83,0.0539,120.109,4
0.829,2020,0.145,"['Eminem', 'Juice WRLD']",0.808,210800,0.745,1,7FIWs0pqAYbP91WWM0vlTQ,0,10,0.292,-5.26,0,Godzilla (feat. Juice WRLD),86,0.342,165.995,1
0.715,2020,0.424,['salem ilese'],0.738,136839,0.621,0,7aGyRfJWtLqgJaZoG9lJhE,7.39E-06,0,0.692,-7.313,1,Mad at Disney,88,0.0486,113.968,1
0.132,2020,0.14,"['Ty Dolla $ign', 'Post Malone']",0.784,144028,0.496,1,5nWVyZaCwtfAkBnwDuXjBh,0,7,0.113,-5.746,1,Spicy (feat. Post Malone),83,0.0435,100.002,2
0.599,2020,0.12,"['Future', 'Lil Uzi Vert']",0.94,228796,0.532,1,5n6gBhdEjCuj3obgCoTEFD,0,11,0.0925,-5.998,0,That’s It,77,0.358,123.043,1
0.28,2020,0.233,"['THE SCOTTS', 'Travis Scott', 'Kid Cudi']",0.716,165978,0.537,1,39Yp9wwQiSRIDOvrVg7mbk,0,0,0.157,-7.648,0,THE SCOTTS,85,0.0514,129.979,2
0.535,2020,0.758,['Fousheé'],0.711,141224,0.592,1,6HlE9t71z9DjGi7KqSyEpA,0,4,0.156,-7.136,0,Deep End,88,0.23,124.749,4
0.367,2020,0.0187,"['Pop Smoke', 'A Boogie Wit da Hoodie']",0.905,190534,0.647,1,2r6OAV3WsYtXuXjvJ1lIDi,0,10,0.282,-5.065,0,Hello (feat. A Boogie Wit da Hoodie),86,0.107,130.97,1
0.582,2020,0.0442,['The Kid LAROI'],0.762,151705,0.426,1,3QCU8BT0zDS9LPVfEhRFEE,0,8,0.0858,-6.865,1,ALWAYS DO,83,0.113,167.827,1
0.202,2020,0.00574,"['21 Savage', 'Metro Boomin']",0.847,193591,0.733,1,6pcywuOeGGWeOQzdUyti6k,1.04E-05,10,0.151,-6.439,0,Glock In My Lap,80,0.16,130.029,2
0.805,2020,0.0317,"['G Herbo', 'Juice WRLD', 'Lil Uzi Vert', 'Chance the Rapper']",0.883,232065,0.808,1,3jT2LKH0RSbQ8jIUNFzXm5,0,1,0.207,-3.158,0,PTSD,80,0.183,119.012,1
0.372,2020,0.0815,['Ariana Grande'],0.686,158436,0.526,0,6u7gmPOz7pzzaeR9xSBpsR,7.75E-06,0,0.144,-6.842,1,my hair,83,0.0374,92.013,4
0.377,2020,0.0951,['Gabby Barrett'],0.466,210773,0.536,0,23T0OX7QOiIUFShSzbJ5Uo,0,6,0.114,-6.227,1,I Hope,80,0.0429,75.998,4
0.0397,2020,0.629,"['Drake', 'Giveon']",0.735,220488,0.449,1,4wVOKKEHUJxHCFFNUWDn0B,0,10,0.113,-7.507,1,Chicago Freestyle (feat. Giveon),84,0.347,122.947,2
0.26,2020,0.0967,['Ariana Grande'],0.624,146959,0.672,1,0q85C1JiECyYIQthz1posA,0,0,0.155,-5.334,1,obvious,82,0.106,159.852,1
0.46,2020,0.114,"['Internet Money', 'Juice WRLD', 'Trippie Redd']",0.761,174730,0.517,1,2rFsFjq0D9JAmc0APpCO6P,0,5,0.157,-6.916,1,Blastoff (feat. Juice Wrld & Trippie Redd),81,0.0927,147.912,4
0.274,2020,0.275,"['Diplo', 'Morgan Wallen']",0.765,169227,0.556,1,3FU6urUVsgXa6RBuV2PdRk,0,11,0.0824,-6.417,1,Heartless (feat. Morgan Wallen),79,0.0512,111.033,2
0.629,2020,0.749,['StaySolidRocky'],0.728,147800,0.431,0,5RqR4ZCCKJDcBLIn4sih9l,0,6,0.0996,-9.966,0,Party Girl,84,0.0622,130.022,4
0.706,2020,0.216,"['Future', 'Lil Uzi Vert']",0.758,274313,0.574,1,6lt8iodSkYWEV0ifKCSlfg,0,9,0.144,-7.833,0,Stripes Like Burberry,77,0.217,144.081,1
0.0875,2020,0.795,['Billie Eilish'],0.444,208155,0.309,0,2ygvZOXrIeVL4xZmAWJT2C,0.132,8,0.352,-10.956,1,my future,85,0.062,104.745,3
0.649,2020,0.356,['Lil Eazzyy'],0.796,128014,0.426,1,3NxFTRr0692mbC5hD0nEZD,2.73E-05,1,0.0941,-13.207,1,Onna Come Up,80,0.285,150.043,4
0.522,2020,0.000417,"['Machine Gun Kelly', 'Halsey']",0.654,171621,0.875,1,1VSuFS7PahCN3SWbOcQ98m,0.0086,1,0.194,-4.845,1,forget me too (feat. Halsey),82,0.0744,99.975,1
0.309,2020,0.634,['Dan + Shay'],0.721,171827,0.277,0,5ovVcYo2MvjVydFwFyaaqy,0,1,0.112,-7.128,1,I Should Probably Go To Bed,79,0.0365,131.935,3
0.493,2020,0.00162,['Conan Gray'],0.628,185773,0.639,0,6KfoDhO4XUWSbnyKjNp9c4,0,8,0.354,-5.46,1,Maniac,84,0.0435,108.045,4
0.452,2020,0.00776,"['Marshmello', 'Halsey']",0.63,172762,0.633,0,3Z8FwOEN59mRMxDCtb8N0A,0,4,0.0541,-7.088,1,Be Kind (with Halsey),86,0.0457,93.995,4
0.349,2020,0.207,['Lil Mosey'],0.774,162547,0.554,1,22LAwLoDA5b4AaGSkg6bKW,0,0,0.132,-7.909,1,Blueberry Faygo,84,0.0383,99.034,4
0.716,2020,0.199,"['SZA', 'The Neptunes', 'Pharrell Williams', 'Ty Dolla $ign']",0.679,202008,0.516,1,7Bar1kLTmsRmH6FCKKMEyU,0,0,0.0965,-6.371,0,Hit Different,81,0.0452,120.074,1
0.391,2020,0.297,['Vedo'],0.774,201587,0.376,1,4lsHZ92XCFOQfzJFBTluk8,0,5,0.165,-9.372,1,You Got It,86,0.208,122.089,4
0.636,2020,0.016,"['Megan Thee Stallion', 'Beyoncé']",0.822,242001,0.743,1,5v4GgrXPMghOnBBLmveLac,0,10,0.127,-4.772,0,Savage Remix (feat. Beyoncé),82,0.28,84.459,4
0.427,2020,0.000335,['Miley Cyrus'],0.58,213672,0.908,0,5i7ThJfYLAzp2DyZuFpF6j,4.84E-05,4,0.087,-5.303,1,Heart Of Glass (Live from the iHeart Festival),84,0.0341,115.016,4
0.835,2020,0.0337,"['Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko']",0.793,247308,0.771,0,35UUpTmrcFXNIVIN26ujXl,1.51E-06,5,0.284,-3.417,1,Relación - Remix,94,0.0959,171.943,1
0.476,2020,0.128,['Polo G'],0.616,177273,0.617,1,170DNUSnQRp1tGpppF26pA,0,1,0.177,-8.431,1,Epidemic,81,0.52,175.929,4
0.557,2020,0.186,['Ariana Grande'],0.688,132279,0.455,0,1whfVLMKWqAX3uk97VXsNN,0,11,0.0794,-8.632,0,west side,81,0.199,87.865,4
0.602,2020,0.0165,"['Future', 'Lil Uzi Vert']",0.898,196636,0.567,1,1rP5gAqMlm8d6UnfseuzSm,0,1,0.109,-6.446,1,Real Baby Pluto,74,0.302,141.973,4
0.553,2020,0.0686,['Ariana Grande'],0.688,179861,0.573,1,6NYtLvyThMT0oALFdJFdzq,0,10,0.0749,-5.03,0,love language,81,0.208,110.034,4
0.432,2020,0.00576,['Saweetie'],0.954,139413,0.696,1,4Hpib09wXgD84w4uwTPnYD,0.000498,10,0.0754,-7.117,0,Tap In,82,0.204,100.036,4
0.551,2020,0.537,['Taylor Swift'],0.613,239560,0.581,0,4R2kfaDFhslZEMJqAFNpdd,0.000345,0,0.25,-8.588,0,cardigan,83,0.0424,130.033,4
0.11,2020,0.13,['$uicideBoy$'],0.792,168490,0.512,1,41LhQUkElADQ5YUbpYv2D0,8.82E-05,2,0.14,-6.875,1,"...And To Those I Love, Thanks For Sticking Around",82,0.0408,113.978,3
0.855,2020,0.464,"['Anuel AA', 'Bad Bunny']",0.691,246000,0.765,1,06s3QtMJVXw1AJX3UfvZG1,3.29E-06,8,0.203,-4.727,1,Hasta Que Dios Diga,86,0.111,174.021,1
0.177,2020,0.337,"['Juice WRLD', 'Halsey']",0.63,202193,0.446,1,5wWAwzGp2OaaoIkwcz6wZs,0,1,0.166,-8.9,1,Life's A Mess (feat. Halsey),81,0.0351,143.078,2
0.273,2020,0.474,"['YNW Melly', 'Juice WRLD']",0.655,225857,0.441,1,4S2uhQE8L9V6p7rj7SiauJ,0,9,0.099,-5.245,0,Suicidal (Remix) [feat. Juice WRLD],81,0.0629,139.957,2
0.699,2020,0.151,"['24kGoldn', 'Justin Bieber', 'J Balvin', 'iann dior']",0.721,192745,0.745,1,6FuGJB290AQMAHTfjOYVaK,1.24E-06,7,0.372,-3.508,0,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",86,0.0366,90.988,4
0.573,2020,0.055,['Lil Uzi Vert'],0.771,224955,0.654,1,56uXDJRCuoS7abX3SkzHKQ,0,8,0.214,-6.976,0,Myron,80,0.298,155.047,1
0.556,2020,0.154,['Sam Smith'],0.653,213869,0.667,0,5hvwx5i67IwnCkjl9VHkNv,0,10,0.107,-6.764,0,Diamonds,87,0.0423,104.181,4
0.464,2020,0.183,['Juice WRLD'],0.868,154767,0.55,1,0fCwrjKfWxF3xQhZrYUw4T,0,6,0.109,-6.417,1,Blood On My Jeans,79,0.226,117.943,2
0.585,2020,0.11,"['Future', 'Lil Uzi Vert']",0.839,166637,0.502,1,7liO3TEHfUqLnIlN54CW1D,0,0,0.115,-5.886,0,Million Dollar Play,74,0.398,150.07,1
0.433,2020,0.439,['Juice WRLD'],0.745,168685,0.5,1,21CkzgKCBCq5V4XKjiGSIj,0,8,0.0943,-6.184,1,Stay High,80,0.135,76.968,3
0.116,2020,0.0187,"['Future', 'Lil Uzi Vert']",0.759,133171,0.52,1,6NaVCCFGylOLZAgk5eTTid,0,2,0.313,-7.042,1,Marni On Me,73,0.447,123.189,2
0.318,2020,0.452,['Chris Stapleton'],0.638,240413,0.538,0,3TNSVsiFngfe68UJpMq1oS,0.000415,10,0.0695,-8.445,1,Starting Over,78,0.0315,89.124,2
0.35,2020,0.524,['Don Toliver'],0.652,154424,0.631,0,7AzlLxHn24DxjgQX73F9fU,0.000579,6,0.165,-5.718,0,No Idea,83,0.0893,127.998,3
0.532,2020,0.0233,"['Future', 'Lil Uzi Vert']",0.851,167397,0.621,1,0DUHmrwC8ZviGGC2o2JBy1,0,11,0.161,-6.679,1,Sleeping On The Floor,73,0.362,150.969,1
